iter	RMSE
0	3.19857932
1	3.132390337
2	3.068541797
3	3.010255888
4	2.94343668
5	2.891701041
6	2.829869908
7	2.777980805
8	2.727633812
9	2.682194426
10	2.62861771
11	2.579947216
12	2.528012871
13	2.480718276
14	2.430233989
15	2.377525466
16	2.329399337
17	2.283721344
18	2.251215296
19	2.204896377
20	2.158461824
21	2.116125347
22	2.075049765
23	2.038497465
24	2.00351823
25	1.969434532
26	1.935726967
27	1.899425767
28	1.865765428
29	1.836288981
30	1.806646829
31	1.776595579
32	1.744843306
33	1.71626569
34	1.688577406
35	1.658928125
36	1.635095932
37	1.606770241
38	1.582150213
39	1.553166714
40	1.526473573
41	1.505536748
42	1.485212672
43	1.46376278
44	1.44223945
45	1.419481185
46	1.402441538
47	1.378674495
48	1.359517057
49	1.339214139
50	1.320079682
51	1.304022464
52	1.28816657
53	1.271953456
54	1.253174285
55	1.236005264
56	1.22297342
57	1.206622746
58	1.193237022
59	1.180526405
60	1.168313303
61	1.156109261
62	1.142625578
63	1.130582659
64	1.11881425
65	1.10774974
66	1.09179301
67	1.079704645
68	1.068751038
69	1.05852678
70	1.045388392
71	1.034928229
72	1.021899672
73	1.011870454
74	1.003919081
75	0.9951878147
76	0.9858711658
77	0.9760495196
78	0.9665517753
79	0.9577602236
80	0.9527355491
81	0.9462572613
82	0.9386047631
83	0.9310880695
84	0.9208325888
85	0.9133534
86	0.9051047888
87	0.8981527604
88	0.8903969231
89	0.8839716963
90	0.8771869942
91	0.8709945008
92	0.8653655692
93	0.8609507091
94	0.8545438986
95	0.8492371303
96	0.8419614444
97	0.8370440092
98	0.8319597433
99	0.8272520013
100	0.8222174236
101	0.8176551971
102	0.8127088794
103	0.8081229594
104	0.8044304119
105	0.8006151083
106	0.7959543647
107	0.7916481696
108	0.7879451239
109	0.7843415217
110	0.7797586434
111	0.7750180538
112	0.7709030776
113	0.7678381359
114	0.7642301375
115	0.7604526184
116	0.7576272764
117	0.7544912568
118	0.7519470969
119	0.7496363399
120	0.746304621
121	0.7429504026
122	0.73938384
123	0.7350775423
124	0.7318059616
125	0.7291044399
126	0.7262158955
127	0.72353051
128	0.7194663347
129	0.7154767535
130	0.7129440427
131	0.7101108888
132	0.7078256311
133	0.7047577877
134	0.7026201736
135	0.7000711092
136	0.6973566726
137	0.6949238068
138	0.6912560361
139	0.6876662476
140	0.6857195811
141	0.6834993982
142	0.6801473651
143	0.6770385322
144	0.6743934176
145	0.6720342161
146	0.6690277105
147	0.6666247901
148	0.6650858753
149	0.6633877461
150	0.6610495989
151	0.6593029649
152	0.6559452068
153	0.6529153298
154	0.6510330512
155	0.6495790876
156	0.6470523491
157	0.6452481332
158	0.6428541251
159	0.6407871065
160	0.638912673
161	0.6364257399
162	0.6343923808
163	0.6324257695
164	0.6297380845
165	0.6279124332
166	0.6256989419
167	0.623278258
168	0.6218101508
169	0.6197413601
170	0.6178315933
171	0.616136908
172	0.6146253205
173	0.6132207515
174	0.6124166791
175	0.6104046293
176	0.6081653959
177	0.6069813212
178	0.604121619
179	0.6028038336
180	0.6002266049
181	0.5985828918
182	0.5967805728
183	0.5953413974
184	0.5928983198
185	0.5908217979
186	0.5874648555
187	0.5861946255
188	0.5849749701
189	0.5823958846
190	0.5792023617
191	0.5774597658
192	0.576368826
193	0.5742067012
194	0.5719891577
195	0.5707324483
196	0.5681826063
197	0.5670674521
198	0.5650857831
199	0.5636653068
200	0.5618960437
201	0.5589218631
202	0.5567415432
203	0.555236462
204	0.5531203704
205	0.5505147981
206	0.5483202022
207	0.5463360697
208	0.544257014
209	0.5421488408
210	0.5401650472
211	0.5383243734
212	0.5373015875
213	0.5358237269
214	0.5342410796
215	0.5322929989
216	0.5304075363
217	0.5300386965
218	0.5298061322
219	0.5288991583
220	0.5285880325
221	0.5282224968
222	0.5270358506
223	0.5267475861
224	0.5253973012
225	0.525056078
226	0.5243168525
227	0.5231418917
228	0.5228796307
229	0.5226841927
230	0.5224433355
231	0.5223466725
232	0.5215058672
233	0.5205823634
234	0.5189064957
235	0.5183819167
236	0.5168093303
237	0.515367483
238	0.5144907283
239	0.5125403642
240	0.5119000722
241	0.5115439888
242	0.51121069
243	0.5088932413
244	0.5079173874
245	0.5062007669
246	0.5050275025
247	0.5048039864
248	0.5032546038
249	0.5030663653
250	0.5011642092
251	0.4997592401
252	0.4975885341
253	0.4956973358
254	0.492988795
255	0.4924981123
256	0.4921613423
257	0.4918534946
258	0.4916123608
259	0.4895658211
260	0.4884664419
261	0.4860468754
262	0.4858007732
263	0.4845264433
264	0.4827176847
265	0.4825403122
266	0.4807678557
267	0.480528941
268	0.4803472089
269	0.4800905734
270	0.4798137349
271	0.4772760277
272	0.4757105266
273	0.4741754158
274	0.473095343
275	0.4728858107
276	0.4726308253
277	0.469941557
278	0.4685455843
279	0.4684219745
280	0.4681694405
281	0.4676070859
282	0.4673533165
283	0.4671638424
284	0.4670281093
285	0.4667908594
286	0.4643678742
287	0.4638783258
288	0.4636978151
289	0.4607505832
290	0.4591617025
291	0.4582226711
292	0.4574248525
293	0.4571417934
294	0.4556146127
295	0.4540887069
296	0.4528160251
297	0.4527173454
298	0.452005134
299	0.4501665764
300	0.4480651155
301	0.447976732
302	0.4459966092
303	0.4459059039
304	0.4457601294
305	0.444492623
306	0.4444080855
307	0.4427964312
308	0.4414913715
309	0.4402307811
310	0.4400785671
311	0.4388187014
312	0.4379773444
313	0.4364107323
314	0.434417592
315	0.4324630891
316	0.4313673512
317	0.4299526294
318	0.427568476
319	0.4266176838
320	0.4261769474
321	0.4249932231
322	0.4236759582
323	0.4220030696
324	0.4206670118
325	0.419443438
326	0.4178896231
327	0.416315589
328	0.4151338669
329	0.4134719529
330	0.4119283107
331	0.4109134118
332	0.4098016116
333	0.4089348854
334	0.4078041689
335	0.4068030477
336	0.4058929864
337	0.404889853
338	0.4037290917
339	0.4020578911
340	0.4012365346
341	0.4008408404
342	0.4000091092
343	0.3984784157
344	0.3978530285
345	0.39604108
346	0.3959276411
347	0.3957465565
348	0.3946998488
349	0.3931628704
350	0.3914079916
351	0.3904817465
352	0.3903668371
353	0.3884055109
354	0.3871913299
355	0.3866857108
356	0.386584137
357	0.3857068811
358	0.3843964712
359	0.3842993429
360	0.384190689
361	0.382353955
362	0.3821501573
363	0.380491932
364	0.3804094083
365	0.3803375941
366	0.3802070271
367	0.3800647769
368	0.3800143684
369	0.3787679457
370	0.377230481
371	0.3771533139
372	0.376789398
373	0.374701951
374	0.3732334509
375	0.3717308985
376	0.3716810871
377	0.3701409606
378	0.3700362305
379	0.3691201964
380	0.3682742176
381	0.3663598094
382	0.3650750941
383	0.3641363541
384	0.3628975089
385	0.3615052568
386	0.3600889291
387	0.3585226825
388	0.3569176214
389	0.3553576002
390	0.3546248816
391	0.3545549021
392	0.3529842898
393	0.3519151493
394	0.3512258616
395	0.3494407876
396	0.3486276845
397	0.3485724394
398	0.3466485747
399	0.3464407272
400	0.3449405642
401	0.343815202
402	0.3420051496
403	0.3407724131
404	0.3394377041
405	0.338292174
406	0.3373078416
407	0.3359782945
