iter	Passed	Remaining
0	3	3741
1	8	4465
2	13	4420
3	16	4145
4	21	4293
5	25	4238
6	29	4141
7	32	4067
8	36	4028
9	40	4055
10	44	3974
11	47	3919
12	50	3866
13	55	3882
14	58	3871
15	62	3854
16	66	3833
17	70	3838
18	74	3858
19	78	3842
20	81	3807
21	86	3824
22	90	3824
23	94	3831
24	97	3804
25	101	3807
26	105	3789
27	108	3754
28	111	3739
29	115	3729
30	119	3724
31	122	3706
32	126	3708
33	130	3707
34	134	3695
35	137	3685
36	140	3669
37	145	3671
38	150	3696
39	153	3687
40	156	3664
41	159	3648
42	163	3643
43	166	3627
44	170	3611
45	173	3604
46	180	3668
47	184	3656
48	187	3637
49	190	3617
50	194	3614
51	197	3609
52	201	3602
53	205	3594
54	209	3603
55	213	3604
56	217	3600
57	221	3592
58	225	3592
59	228	3585
60	232	3579
61	236	3571
62	241	3593
63	245	3585
64	249	3587
65	253	3582
66	258	3601
67	262	3597
68	265	3588
69	269	3574
70	273	3575
71	276	3568
72	280	3561
73	283	3550
74	287	3543
75	291	3540
76	295	3540
77	298	3530
78	303	3539
79	307	3531
80	310	3523
81	314	3522
82	318	3521
83	323	3523
84	327	3521
85	330	3517
86	336	3534
87	340	3529
88	344	3524
89	347	3518
90	351	3515
91	355	3510
92	359	3502
93	362	3492
94	367	3497
95	370	3487
96	374	3484
97	377	3474
98	381	3474
99	387	3488
100	389	3466
101	394	3468
102	398	3468
103	401	3461
104	406	3460
105	409	3452
106	413	3448
107	416	3443
108	420	3433
109	423	3424
110	426	3416
111	429	3409
112	433	3405
113	437	3397
114	440	3387
115	443	3381
116	447	3374
117	450	3368
118	454	3363
119	459	3366
120	462	3362
121	466	3356
122	469	3348
123	473	3342
124	476	3338
125	480	3332
126	484	3329
127	488	3326
128	491	3321
129	495	3315
130	498	3306
131	501	3297
132	505	3294
133	509	3289
134	512	3283
135	515	3278
136	520	3278
137	523	3270
138	527	3265
139	530	3259
140	534	3256
141	538	3254
142	542	3250
143	545	3245
144	549	3241
145	553	3237
146	556	3231
147	560	3224
148	563	3216
149	567	3215
150	584	3287
151	588	3283
152	591	3277
153	595	3270
154	599	3269
155	603	3265
156	606	3259
157	610	3253
158	614	3248
159	618	3244
160	622	3241
161	625	3236
162	629	3230
163	632	3226
164	636	3221
165	640	3217
166	644	3215
167	648	3210
168	654	3216
169	658	3214
170	662	3212
171	666	3208
172	670	3205
173	674	3201
174	678	3196
175	681	3191
176	685	3186
177	688	3179
178	693	3179
179	697	3176
180	701	3173
181	705	3172
182	709	3168
183	713	3162
184	716	3155
185	719	3148
186	723	3145
187	726	3139
188	730	3134
189	734	3129
190	738	3128
191	743	3126
192	746	3122
193	750	3117
194	755	3120
195	760	3117
196	763	3111
197	767	3107
198	771	3104
199	774	3099
200	778	3095
201	782	3090
202	785	3085
203	789	3078
204	792	3072
205	795	3066
206	799	3062
207	803	3059
208	807	3055
209	810	3048
210	813	3043
211	816	3036
212	820	3030
213	823	3026
214	827	3021
215	831	3018
216	835	3015
217	840	3013
218	843	3007
219	846	3002
220	850	2996
221	854	2993
222	857	2988
223	860	2980
224	863	2974
225	866	2968
226	870	2964
227	874	2959
228	877	2954
229	881	2950
230	884	2945
231	886	2934
232	889	2929
233	893	2924
234	897	2921
235	900	2916
236	903	2910
237	908	2910
238	914	2912
239	918	2909
240	922	2905
241	926	2901
242	930	2897
243	934	2895
244	938	2892
245	942	2888
246	946	2884
247	950	2882
248	954	2877
249	957	2872
250	961	2868
251	965	2865
252	969	2861
253	972	2857
254	976	2853
255	980	2849
256	983	2844
257	987	2839
258	991	2835
259	995	2832
260	999	2829
261	1002	2825
262	1007	2823
263	1012	2821
264	1015	2817
265	1019	2812
266	1023	2809
267	1027	2807
268	1033	2807
269	1036	2803
270	1042	2804
271	1046	2801
272	1050	2796
273	1053	2791
274	1057	2787
275	1061	2783
276	1064	2777
277	1067	2772
278	1081	2795
279	1101	2831
280	1109	2839
281	1116	2841
282	1123	2847
283	1130	2850
284	1146	2876
285	1157	2890
286	1162	2887
287	1176	2907
288	1183	2912
289	1190	2914
290	1196	2916
291	1202	2914
292	1205	2908
293	1208	2903
294	1212	2897
295	1216	2892
296	1219	2885
297	1222	2880
298	1226	2874
299	1230	2870
300	1233	2865
301	1237	2859
302	1241	2856
303	1245	2851
304	1249	2846
305	1253	2842
306	1257	2838
307	1264	2840
308	1269	2839
309	1275	2839
310	1280	2836
311	1283	2830
312	1287	2825
313	1291	2822
314	1296	2818
315	1300	2814
316	1303	2808
317	1307	2804
318	1311	2800
319	1315	2794
320	1318	2789
321	1322	2784
322	1326	2780
323	1330	2775
324	1333	2770
325	1337	2765
326	1341	2761
327	1345	2756
328	1348	2751
329	1352	2746
330	1357	2742
331	1360	2737
332	1363	2731
333	1366	2725
334	1370	2721
335	1374	2715
336	1377	2710
337	1381	2704
338	1385	2700
339	1388	2695
340	1392	2690
341	1395	2684
342	1398	2678
343	1417	2703
344	1421	2698
345	1425	2694
346	1428	2688
347	1432	2684
348	1436	2678
349	1440	2674
350	1443	2669
351	1447	2664
352	1450	2659
353	1454	2654
354	1458	2649
355	1461	2643
356	1465	2639
357	1469	2634
358	1472	2629
359	1476	2624
360	1479	2619
361	1483	2614
362	1486	2609
363	1490	2603
364	1494	2599
365	1497	2594
366	1500	2588
367	1505	2584
368	1509	2581
369	1513	2576
370	1516	2571
371	1519	2565
372	1523	2560
373	1526	2555
374	1530	2551
375	1535	2548
376	1539	2543
377	1542	2538
378	1546	2533
379	1550	2529
380	1554	2525
381	1557	2520
382	1562	2516
383	1565	2511
384	1569	2506
385	1573	2502
386	1577	2499
387	1581	2494
388	1585	2489
389	1588	2485
390	1592	2481
391	1596	2475
392	1600	2471
393	1603	2466
394	1607	2462
395	1611	2457
396	1614	2452
397	1618	2447
398	1622	2444
399	1626	2439
400	1629	2434
401	1633	2429
402	1636	2424
403	1639	2419
404	1643	2414
405	1646	2409
406	1651	2405
407	1654	2401
408	1657	2395
409	1661	2390
410	1665	2386
411	1668	2381
412	1672	2376
413	1675	2371
414	1679	2367
415	1683	2362
416	1686	2358
417	1690	2353
418	1693	2348
419	1697	2344
420	1701	2339
421	1704	2334
422	1708	2330
423	1712	2326
424	1715	2321
425	1718	2315
426	1721	2310
427	1725	2305
428	1728	2301
429	1731	2295
430	1735	2290
431	1738	2285
432	1741	2280
433	1745	2275
434	1748	2270
435	1751	2265
436	1755	2261
437	1758	2256
438	1762	2252
439	1766	2247
440	1769	2242
441	1773	2238
442	1776	2233
443	1780	2229
444	1783	2224
445	1786	2218
446	1789	2213
447	1793	2209
448	1796	2205
449	1800	2200
450	1804	2196
451	1808	2193
452	1813	2189
453	1817	2185
454	1822	2182
455	1825	2177
456	1829	2174
457	1832	2169
458	1836	2164
459	1839	2159
460	1844	2156
461	1847	2151
462	1852	2148
463	1856	2144
464	1859	2139
465	1863	2135
466	1868	2132
467	1872	2128
468	1875	2123
469	1879	2119
470	1882	2114
471	1886	2110
472	1890	2105
473	1893	2101
474	1897	2097
475	1901	2093
476	1905	2089
477	1909	2084
478	1912	2080
479	1917	2077
480	1920	2072
481	1923	2067
482	1928	2063
483	1932	2060
484	1935	2055
485	1939	2051
486	1945	2049
487	1951	2047
488	1955	2043
489	1958	2038
490	1962	2034
491	1966	2030
492	1969	2025
493	1973	2021
494	1977	2017
495	1980	2012
496	1984	2007
497	1987	2003
498	1992	2000
499	1995	1995
